store_id,product_family,date,sales
1,A,2020-01-01,7
1,A,2020-01-02,0
1,A,2020-01-03,13
1,A,2020-01-04,28
1,A,2020-01-05,3
1,A,2020-01-06,5
1,A,2020-01-07,33
1,A,2020-01-08,23
1,A,2020-01-09,6
1,A,2020-01-10,23
1,A,2020-01-11,10
1,A,2020-01-12,11
1,A,2020-01-13,24
1,A,2020-01-14,0
1,A,2020-01-15,0
1,A,2020-01-16,17
1,A,2020-01-17,12
1,A,2020-01-18,33
1,A,2020-01-19,16
1,A,2020-01-20,10
1,A,2020-01-21,55
1,A,2020-01-22,31
1,A,2020-01-23,37
1,A,2020-01-24,17
1,A,2020-01-25,31
1,A,2020-01-26,43
1,A,2020-01-27,26
1,A,2020-01-28,50
1,A,2020-01-29,37
1,A,2020-01-30,43
1,A,2020-01-31,40
1,A,2020-02-01,78
1,A,2020-02-02,52
1,A,2020-02-03,37
1,A,2020-02-04,67
1,A,2020-02-05,38
1,A,2020-02-06,61
1,A,2020-02-07,30
1,A,2020-02-08,40
1,A,2020-02-09,65
1,A,2020-02-10,74
1,A,2020-02-11,67
1,A,2020-02-12,64
1,A,2020-02-13,62
1,A,2020-02-14,46
1,A,2020-02-15,59
1,A,2020-02-16,64
1,A,2020-02-17,88
1,A,2020-02-18,78
1,A,2020-02-19,48
1,A,2020-02-20,80
1,A,2020-02-21,71
1,A,2020-02-22,67
1,A,2020-02-23,88
1,A,2020-02-24,95
1,A,2020-02-25,95
1,A,2020-02-26,69
1,A,2020-02-27,78
1,A,2020-02-28,89
1,A,2020-02-29,99
1,A,2020-03-01,78
1,A,2020-03-02,83
1,A,2020-03-03,70
1,A,2020-03-04,70
1,A,2020-03-05,101
1,A,2020-03-06,110
1,A,2020-03-07,89
1,A,2020-03-08,106
1,A,2020-03-09,97
1,A,2020-03-10,83
1,A,2020-03-11,98
1,A,2020-03-12,117
1,A,2020-03-13,94
1,A,2020-03-14,118
1,A,2020-03-15,56
1,A,2020-03-16,108
1,A,2020-03-17,97
1,A,2020-03-18,92
1,A,2020-03-19,98
1,A,2020-03-20,67
1,A,2020-03-21,94
1,A,2020-03-22,103
1,A,2020-03-23,120
1,A,2020-03-24,91
1,A,2020-03-25,87
1,A,2020-03-26,91
1,A,2020-03-27,113
1,A,2020-03-28,104
1,A,2020-03-29,91
1,A,2020-03-30,107
1,A,2020-03-31,101
1,A,2020-04-01,114
1,A,2020-04-02,89
1,A,2020-04-03,95
1,A,2020-04-04,94
1,A,2020-04-05,77
1,A,2020-04-06,104
1,A,2020-04-07,103
1,A,2020-04-08,99
1,A,2020-04-09,95
1,A,2020-04-10,77
1,A,2020-04-11,92
1,A,2020-04-12,93
1,A,2020-04-13,85
1,A,2020-04-14,95
1,A,2020-04-15,103
1,A,2020-04-16,125
1,A,2020-04-17,98
1,A,2020-04-18,99
1,A,2020-04-19,94
1,A,2020-04-20,66
1,A,2020-04-21,93
1,A,2020-04-22,94
1,A,2020-04-23,130
